Locality_clean,Latitude,Longitude,Year,Month,Day,Larvae,Pupae,Adults,MOTH_family,MOTH_sp,MOTH_id,feed,PARA_n1,PARA_sp1,PARA_n2,PARA_sp2,PARA_n3,PARA_sp3,PARA_n4,PARA_sp4,PARA_n5,PARA_sp5
Tp D 66,NA,NA,1946,7,28,3,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
?,NA,NA,1937,7,22,NA,1,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
?,NA,NA,1947,6,17,51,NA,NA,Geometridae,Alsophila pometaria,ALPO,solitary defoliators,3,Unk. Parasitoids,NA,NA,NA,NA,NA,NA,NA,NA
1/2 m w of Mc Kinzie D 24,NA,NA,1946,6,24,1,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-Northbay # 71,NA,NA,1949,6,13,5,NA,2,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. Dymont 18,NA,NA,1949,6,3,1,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Add'l.,NA,NA,1946,8,17,2,NA,1,Erebidae,Orgyia leucostigma,ORLE,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Add. D 36,NA,NA,1946,6,14,6,3,4,Tortricidae,Pseudosciaphila duplex,PSDU,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Add'l.,NA,NA,1946,6,14,6,NA,2,Gelechiidae,Anacampsis innocuella,ANIN,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Tp D 36,NA,NA,1947,7,18,NA,1,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Tp D 36,NA,NA,1947,7,10,1,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Tp D 36,NA,NA,1946,8,17,9,2,3,Erebidae,Orgyia leucostigma,ORLE,solitary defoliators,5,Diptera,1,Hymenoptera,NA,NA,NA,NA,NA,NA
Abitibi Lake D 45,NA,NA,1948,6,14,1,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abitibi, Que.",4834,7800,1938,6,29,100,NA,772,Tortricidae,Archips cerasivorana,ARCE, colonial shelter-builders,3,Labrorychus sp.,NA,NA,NA,NA,NA,NA,NA,NA
"Achray, Ont.",NA,NA,1943,9,9,7,NA,3,Geometridae,Macaria granitata,MAGR,solitary defoliators,2,Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA
"Achray, Ont.",NA,NA,1943,9,17,1,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinolite, Ont",NA,NA,1949,6,16,1,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinolite, Ont",NA,NA,1949,6,16,1,NA,1,Geometridae,Erannis tiliaria,ERTI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afton Tp. D71,NA,NA,1946,8,2,100,NA,9,Erebidae,Hyphantria cunea,HYCU, colonial shelter-builders,1,Hyposoter pilosulus,2,Therion sassacus,5,Hymenoptera,NA,NA,NA,NA
