"HERB_ID_SP","abun","rar.pd.obs","rar.pd.est","sr.obs","sr.est","shan.obs","shan.est","mpd.abun","mpd","mntd.abun","mntd","pd.abun","pd.ivs.abun","pd.ivs","species.specificity.index","effective.partners","proportional.generality","d","psv","psr","eed","hed","pae.even","haed.even","eaed.even","pse.even","HERB_family_2019","HERB_fam_top","HERB_sp","FEED_type","FEED_site","feeding","SC","HERB_ID","start_pheno","start_peak","end_pheno","end_peak","dias_peak","dias_pheno","group"
"BUCA",489,325.05,325.05,1,1,1,1,NA,NA,NA,NA,325.050027,-225.032269454854,6.05707129532337,1,1,0.0876347118285909,0.498900481205028,NA,NA,Inf,11.0710443369494,1.3186301546186,6.19236248947487,1,NA,"Bucculatricidae",NA,"Bucculatrix canadensisella","free","leaf","solitary def.","S","BUCA",191,222,273,242,20,82,"late"
"DRAR",128,393.325,393.325,2,2,1.965,1.973,65.87513928125,136.550896,136.550896,136.550896,393.325475,-144.785658766576,-13.7471580048421,0.708530965471699,1.96494564321165,0.172197445201699,0.390302489560616,0.210045969323977,0.420091938647954,15.1448344535992,10.4975993015594,1.40643042274862,4.84985114985572,0.999550886135211,0.202661540714931,"Drepanidae",NA,"Drepana arcuata","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"DRBI",73,509.111,509.111,3,3,1.524,1.546,37.31163981535,199.897717333333,141.757484054795,168.224306666667,509.111039,-27.1762334151766,13.9587286949924,0.890138984262538,1.52442394789346,0.133592453378246,0.329438836169899,0.307487618411017,0.92246285523305,8.6654087635015,9.51992455391508,1.39376879185696,3.97941483905726,0.927503194854143,0.0860905323398495,"Drepanidae",NA,"Drepana bilineata","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"EUPU",40,325.05,325.05,1,1,1,1,NA,NA,NA,NA,325.050027,-210.142928604337,6.05707129532331,1,1,0.0876347118285909,0.879131007823668,NA,NA,Inf,11.0710443369494,4.57967505331647,3.68887945411394,1,NA,"Drepanidae",NA,"Euthyatria pudens","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"PSCY",86,504.473,504.473,3,3,2.05,2.075,65.5046521449432,193.714308,140.539041023256,165.132602,504.473482,-32.2448849164164,9.32117169499254,0.749872777174001,2.049940180884,0.179645917017619,0.362314746445239,0.297976145068894,0.893928435206683,8.69914151417797,9.55698376833883,1.35868003873392,4.21685603587086,0.946683263655172,0.151141316806312,"Drepanidae",NA,"Pseudothyatira cymatophoroides","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"CARE",79,325.05,325.05,1,1,1,1,NA,NA,NA,NA,325.050027,-211.436212108057,6.05707129532331,1,1,0.0876347118285909,0.269130859755629,NA,NA,Inf,11.0710443369494,0.651117203962923,4.36944785246702,1,NA,"Erebidae","Erebidae","Catocala relicta","free",NA,"defoliator","S","CARE",150,161,222,191,30,72,"early"
"DAGR",96,480.37,480.37,6,6,4.498,4.619,57.3496817430555,75.1442385333333,47.0838355416666,49.884574,480.370043,-56.6799350712166,-279.021299205504,0.485220638576265,4.49757663557028,0.394143832385205,0.105438495818585,0.115588728336474,0.693532370018846,5.44326934451924,9.75302939160114,0.312491667768979,4.51729013979483,0.98969008285543,0.105860040571027,"Erebidae","Erebidae","Dasychira grisefacta","free","LEAF","defoliator","S","DAGR",161,181,263,191,10,102,"early"
"DAPL",1096,1128.514,1128.514,9,9,3.684,3.697,93.3547874607764,421.245869833333,69.1634302189781,132.773722666667,1128.513899,558.302805448789,104.883524893999,0.573913181154478,3.68352652525396,0.322804785553602,0.0980422544897935,0.647970827323348,5.83173744591013,2.84755962134705,6.25672798545396,0.631168655071213,5.62396279951914,0.803489548691503,0.161550726303083,"Erebidae","Erebidae","Dasychira plagiata","free","LEAF","solitary def.","S","DAPL",130,161,273,211,50,143,NA
"DAVA",69,845.62,845.62,5,5,3.425,3.529,209.593927763075,452.3211056,99.5666342898551,110.101616,845.619856,309.465228046743,174.308191094661,0.605721937576299,3.42540210062518,0.300184125985338,0.141059432839307,0.695771524424454,3.47885762212227,4.59824001083137,7.4005818039034,0.771486958121013,3.91297894704623,0.924156948531559,0.403003211723843,"Erebidae","Erebidae","Dasychira vagans","free","LEAF","solitary def.","S","DAVA",140,161,273,181,20,133,"early"
"DRHD",74,440.836,440.836,2,2,1.234,1.243,23.6814886194303,231.571128,231.571128,231.571128,440.835591,-95.4848425306565,33.762957995158,0.94574664733249,1.23402774902682,0.10814366617445,0.788967659693027,0.356208442954536,0.712416885909073,14.5506974989009,10.0857749465438,1.96742068170524,4.02392632416927,0.934912980410725,0.0728549043296348,"Erebidae","Erebidae","Drasteria hudsonica","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
